term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
four cyclones,that table,1.33,0.471
those counties,every period,1.67,0.943
three houses,that bill,1,0
four elephants,those boats,1,0
two ships,those pants,1.5,0.866
these guns,every bed,1,0
four extensions,those gains,1,0
four cities,that moment,1.33,0.471
three cities,that bill,1,0
four ducks,that pub,1.6,1.2
three villages,those weights,1,0
that radio,every investment,1,0
that dance,every shilling,1,0
two bottles,these kingdoms,1,0
this restaurant,every team,2.5,1.5
this gun,every ship,1.67,0.471
this wind,all mortgages,1,0
this cat,every department,2,0
three axes,this constitution,1,0
four leagues,that date,1.5,0.866
three castles,those designers,1.5,0.764
three coats,these investments,2,1.414
three lengths,these horses,1.8,1.166
that country,every wind,1.2,0.4
three agencies,this licence,1,0
three conventions,this passion,2,1
four periods,those designers,1,0
four spades,this cottage,1,0
that company,all parties,1,0
two treaties,that ball,1,0
those families,all mortgages,2,1
four houses,that country,1.33,0.471
those dances,all nations,1,0
three chairs,this weight,1,0
these ships,all leagues,1.5,0.5
four periods,those designers,5,0
three cruisers,these credits,1,0
that state,all guitars,1.33,0.471
these counties,all conventions,7,0
four lions,this gun,1,0
three parties,this company,1,0
that fear,every aircraft,1,0
that house,all designers,2.5,1.5
four villages,those weights,1,0
those balls,all farmers,1,0
three battleships,these obligations,1.5,0.5
this train,every designer,1.5,0.5
these wonders,all laws,1,0
three trucks,those bonds,3,0
three cylinders,this dress,1.5,0.866
four balls,these pigs,1,0
these conventions,every passion,1.5,0.5
three rockets,these hospitals,1.33,0.471
that kingdom,every fund,2.5,1.5
four farmers,those days,1,0
that radio,every investment,2.5,1.5
those pubs,all balls,1,0
those guns,all buses,1,0
four turtles,those boats,1,0
those counties,every period,1.67,0.471
two restaurants,that date,1,0
three weights,those masses,1.5,0.866
three days,these days,5.25,1.09
two makers,these farmers,2,1.225
two bills,four bills,6.25,0.829
that hat,that constitution,1.75,1.299
three libraries,that library,4.8,1.72
these villages,all lands,2.75,1.785
four legions,those leagues,2.25,1.639
two treaties,that acceptance,1.75,1.299
these developers,these makers,2.25,0.433
this club,all clubs,6,0.707
every cow,every gun,1.5,0.5
those bills,every bill,5.25,0.433
these villages,every parish,1.75,0.433
these treaties,these cylinders,1.25,0.433
those producers,all artists,1.5,0.866
that village,every village,4.25,1.479
these castles,that interest,1,0
four cups,that cup,4.5,2.062
those bills,those checks,2.75,1.785
those cheques,all checks,2.5,1.658
these interests,that allocation,1.25,0.433
three masses,that length,1.75,1.299
these boats,that boat,4.75,1.09
those families,this fund,1,0
that city,that town,3.5,2.5
two developers,these developers,3.5,1.803
four troops,those families,1.75,0.829
four designers,these designers,5.2,0.4
those teams,all nations,1.75,1.299
every assignment,every licence,2,1.225
three trucks,four battleships,1.25,0.433
those countries,those checks,2.5,1.5
those funds,all funds,3,2.121
two teams,three bills,1.2,0.4
three bonds,this bond,4,1.871
three farmers,these manufacturers,2.25,1.299
those licences,every law,2,1.732
four designers,these developers,2,1.732
these trains,those investments,1.25,0.433
three villages,those villages,5.75,0.829
two restaurants,three hospitals,1,0
these tribes,this credit,1.5,0.866
three forks,three battleships,3.25,2.278
those pains,that bond,1.5,0.866
these chairs,this chair,3.75,2.278
three periods,four days,2.5,1.658
three occasions,that occasion,4.75,2.278
three dances,four coats,1.5,0.866
four farmers,four balls,1.5,0.866
all makers,every tribe,1,0
that desire,that love,2.75,1.92
four developers,four dances,2.5,0.866
two helicopters,four helicopters,4.5,1.803
two towns,four towns,5.5,0.866
those investments,that investment,5.5,0.5
these castles,these restaurants,2.25,1.639
three weights,three trains,1.5,0.866
this date,that date,5,0.707
all mortgages,every wind,1.75,1.299
two countries,two towns,1,0
this league,that train,2.25,1.639
these leagues,that bond,1.5,0.866
three photographers,these musicians,1.25,0.433
four restaurants,four constitutions,2.25,1.299
three families,three rings,3.25,1.479
every county,every state,3,2
three cents,four extensions,1,0
two laws,three epochs,3.5,2.598
this car,that car,5.25,1.479
four masses,this extension,2,1.225
two cents,two dollars,1.5,0.866
two ferries,three ferries,4.75,1.785
two shirts,two hats,1.5,0.866
four restaurants,those restaurants,4,2.121
all laws,all licences,2.5,2.062
three masses,that length,1.5,0.5
that hotel,every hospital,2,1.732
three clubs,four cars,1.25,0.433
two boroughs,two ferries,1.5,0.5
that ceremony,that ship,1,0
this coat,every shirt,1,0
two tornadoes,four tornadoes,3.75,2.385
that horse,that dog,1,0
these shares,that share,3.25,2.278
two rockets,three trucks,2.5,1.5
all days,every credit,2,1.732
those makers,this artist,1.25,0.433
this town,that town,2.75,1.785
three offices,that club,1,0
this fear,all fears,4,1.581
these cheques,those cheques,4.75,1.785
two guitars,that guitar,2.25,1.639
those balls,that ball,3.5,2.179
four towns,four nations,2.25,1.299
two farmers,four farmers,3.5,2.062
two companies,two departments,2.5,2.062
two phones,two lengths,2,0.707
these families,this department,1.25,0.433
two helicopters,two tankers,3,2.121
that chair,that bottle,2,1.732
three committees,this committee,4.25,0.829
these opinions,that opinion,2.25,1.639
that tribe,all houses,1.25,0.433
two credits,those interests,1.25,0.433
all occasions,every bus,1.75,1.299
those trucks,this investment,1,0
every builder,every designer,3.25,0.829
those libraries,those photographers,1.25,0.433
four funds,these funds,5.5,0.5
three restaurants,that castle,1,0
two phones,three phones,4.5,2.062
three counties,these counties,4.75,2.278
this nation,every agency,1,0
those assignments,this licence,1.25,0.433
this chair,that licence,1.5,0.866
three chairs,four tankers,1.75,1.299
this fund,all funds,4,1.871
all horses,all lengths,2,1.225
those hotels,all villas,2.5,1.5
two horses,these horses,5.25,1.299
two horses,two guitars,2.25,1.639
these hospitals,all hotels,3,2.121
three bottles,four bottles,2.75,1.92
these parties,that party,3.5,2.062
these interests,that house,1.5,0.866
this land,that anger,1.25,0.433
every occasion,every department,2.25,1.299
these treaties,this treaty,5.5,1.118
three tornadoes,four cyclones,1.5,0.866
all designers,all moments,3.5,1.5
two dates,those dates,4,1.871
this extension,this stretch,4.75,2.278
two vans,three trucks,2.75,1.479
these hotels,this obligation,1,0
these guitars,that temperature,1.25,0.433
two towns,three counties,1.25,0.433
three bills,these bonds,2.75,1.09
two credits,three funds,2.25,0.829
those assignments,those licences,2.25,2.165
all interests,every interest,6,0
this bed,all beds,4,2.55
two departments,four departments,5.75,0.829
these bills,this bill,3.5,1.803
three libraries,three boats,1,0
three grenades,three missiles,3.5,1.658
three musicians,those makers,1,0
these conventions,those guns,1,0
two pickups,four cars,1.25,0.433
those developers,every developer,4.25,1.479
those corners,that bus,1,0
three households,that club,1,0
these occasions,that occasion,4.5,2.062
these agencies,this agency,4.25,1.92
these ceremonies,those restaurants,1.75,1.299
this pain,this department,1.5,0.5
all countries,every county,2.75,2.487
this credit,this guitar,2,1
four boats,those boats,3,1.414
all manufacturers,every farmer,1.75,0.829
these interests,this credit,1.75,0.829
all assignments,all licences,2.5,2.062
those pains,this pain,5.5,0.5
two villages,this town,2,1.732
four corners,these rings,1,0
three guns,those guns,5,1.225
that profit,that ship,2.25,2.165
those opinions,that opinion,5.25,0.829
two axes,these axes,6,0.707
those shirts,those socks,2,1.225
every house,every bottle,1.25,0.433
this suburb,this moment,1.75,0.829
two swords,three swords,5.75,1.09
two credits,four credits,4.25,1.299
all occasions,all dances,1.25,0.433
two interests,that gain,1.75,1.299
these cities,that city,4.75,1.639
two buses,three trains,1,0
these boroughs,these kingdoms,2,1.225
those licences,that family,1.5,0.866
all artists,every designer,2,1.732
those phones,those bottles,2.75,1.479
all troops,every manufacturer,2,1.732
two grenades,three grenades,3.75,1.299
two frigates,three battleships,1,0
all towns,all guitars,1.5,0.866
two departments,these committees,2,1
three kingdoms,three departments,2,1.225
those pants,those socks,2.25,0.829
two opinions,four opinions,3.5,1.803
this temperature,all temperatures,4.75,2.165
three horses,four dogs,1,0
these dogs,every dog,5.25,0.433
two extensions,these extensions,3.5,1.658
those investments,this investment,2.25,1.639
all rabbits,every rabbit,5.75,0.433
these teams,that cancer,1.75,0.829
two conventions,that constitution,2.25,1.639
this date,all dates,4.25,1.92
this obligation,that acceptance,2.25,0.829
these moths,these dances,1.75,1.299
all farmers,every farmer,5.5,1.5
all pubs,all extensions,2.75,1.479
two weights,three weights,5.25,1.479
all farmers,every farmer,3.25,2.278
two dances,those parties,1.75,0.829
two cows,four pigs,1.25,0.433
two beds,two sofas,4.25,1.479
these balls,this party,2.5,1.5
these weights,this gun,1,0
those occasions,that artist,1.25,0.433
two funds,three opinions,2,1.225
three chairs,this chair,3.5,2.291
those tables,all tables,5.25,1.92
those committees,those departments,1,0
these nations,this nation,4.25,1.92
two cyclones,three hurricanes,1.75,0.829
these boroughs,all boroughs,4,1.871
two goats,two families,1.5,0.5
four companies,four trucks,1.75,1.299
four cars,four jets,1,0
these lands,that town,1.75,0.829
two states,four villages,2,1.225
four buses,that aircraft,1.75,1.299
three bombs,three cannons,1.5,0.866
two corners,three teams,1.75,1.299
that tribe,every tribe,4.75,1.479
this venture,that venture,6.25,0.433
two parties,three ceremonies,2.25,1.299
two pubs,four restaurants,1.25,0.433
those guns,all guns,6,0.707
two trains,four vans,1.5,0.866
those profits,that profit,3.25,1.479
that weight,every weight,4,1.732
four lions,that dog,1,0
those committees,that department,1.25,0.433
two bottles,four bottles,5,1.225
all photographers,every architect,2,1.225
that state,every kingdom,1.75,1.299
those boroughs,every state,2,1.732
all commemorations,every party,1.5,0.5
two cows,those squirrels,2,1.225
these restaurants,those trucks,1.25,0.433
those passions,those horses,2.25,2.165
two cars,that car,4.5,2.062
four treaties,those treaties,3.25,1.92
that temperature,all temperatures,3.25,1.479
all treaties,every town,1.25,0.433
three blasts,four cyclones,1.5,0.866
three farmers,four troops,1.75,1.299
three ambulances,three jets,1.5,0.866
these fighters,that celebration,1,0
these winds,this credit,1.25,0.433
these licences,these buses,1.25,0.433
these moments,this dance,1.75,1.299
three brigades,four brigades,3.5,2.062
these cats,this artist,1,0
every day,every moment,2.75,2.046
two corners,four dogs,1.75,0.829
these committees,these trucks,1.25,0.433
two shirts,those shirts,5,0.707
two coats,that shirt,1.5,0.866
those licences,those obligations,1.25,0.433
every committee,every team,3.25,1.785
three pigs,these pigs,4.5,1.118
that dance,that moment,2,1.732
those cars,every car,4.5,2.062
three makers,these developers,1.33,0.471
all obligations,every obligation,6.25,0.433
these gains,those gains,4.5,2.062
that hat,that team,1.5,0.5
this chair,every chair,5.5,0.866
those treaties,this treaty,2.25,1.299
these chairs,that pain,1,0
that team,every family,1.25,0.433
three troops,those teams,1.5,0.5
those troops,all troops,2.5,2.062
those licences,all assignments,1.25,0.433
four dollars,four pennies,3,2.121
two rifles,four villas,1.75,1.299
four dates,that day,1.5,0.866
two forks,two pens,1.75,0.829
three guitars,that guitar,3.5,1.5
those villages,those buses,1.25,0.433
four musicians,four photographers,1.25,0.433
these beds,that chair,2.5,1.5
this country,every town,1.5,0.866
four artists,four cows,1.5,0.5
two counties,those boroughs,2.5,1.118
two cottages,four cottages,4.25,2.046
four agencies,four companies,1.75,1.299
two dogs,four lions,2.25,1.299
these lands,that length,1.75,1.299
those libraries,that library,4.25,1.92
two masses,four chairs,1.25,0.433
three artists,four clubs,1,0
these hospitals,these trains,3.5,1.5
every chair,every aircraft,2.5,1.118
all profits,all nations,1,0
three occasions,three vans,2.25,1.299
two tables,three chairs,1.25,0.433
three battleships,four battleships,4.75,2.165
these statutes,that statute,4.75,2.278
those desires,every desire,4.75,2.278
two hospitals,four restaurants,1.75,1.299
four boats,that boat,4.6,1.855
two musicians,four rings,2,0.707
two licences,three licences,5.25,0.829
these households,every club,1,0
